                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.8072,0.80324,0.93101,0.95039,0.75647,0.84947,0.66752,0.81586,0.4158,0.81317,0.00038306,0.00038306,0.00038306
46,1.7977,0.7958,0.93026,0.94838,0.75264,0.84013,0.66299,0.78646,0.40919,0.81316,0.00037645,0.00037645,0.00037645
47,1.7771,0.78405,0.92701,0.95394,0.75489,0.84634,0.66466,0.80773,0.41514,0.81458,0.00036985,0.00036985,0.00036985
48,1.7837,0.78877,0.92608,0.94849,0.75437,0.84612,0.67293,0.7841,0.40183,0.81246,0.00036325,0.00036325,0.00036325
49,1.7811,0.78283,0.9283,0.95284,0.75776,0.84638,0.67121,0.79871,0.40739,0.81355,0.00035664,0.00035664,0.00035664
50,1.763,0.78249,0.92609,0.95582,0.75296,0.84565,0.67121,0.77966,0.4073,0.811,0.00035004,0.00035004,0.00035004
51,1.7485,0.77633,0.92568,0.94901,0.75627,0.84462,0.67246,0.78502,0.40317,0.813,0.00034344,0.00034344,0.00034344
52,1.7841,0.77856,0.91995,0.95381,0.75354,0.84473,0.66734,0.79503,0.40469,0.81112,0.00033683,0.00033683,0.00033683
53,1.7629,0.78116,0.92431,0.95611,0.75227,0.84482,0.66144,0.80802,0.41358,0.81234,0.00033023,0.00033023,0.00033023
54,1.7335,0.76868,0.92152,0.95121,0.75397,0.8418,0.66395,0.7974,0.41158,0.81191,0.00032363,0.00032363,0.00032363
55,1.7483,0.76029,0.92289,0.95385,0.75586,0.84504,0.66831,0.78468,0.40403,0.81156,0.00031703,0.00031703,0.00031703
56,1.6965,0.7414,0.91529,0.95621,0.75618,0.84611,0.66972,0.7897,0.4004,0.81152,0.00031042,0.00031042,0.00031042
57,1.7135,0.75022,0.91797,0.95299,0.75427,0.84651,0.67099,0.78604,0.41142,0.81133,0.00030382,0.00030382,0.00030382
58,1.7113,0.74549,0.91487,0.94826,0.76029,0.84337,0.66846,0.79144,0.40465,0.81161,0.00029722,0.00029722,0.00029722
